product_title,product_id,Product_Price,product_year,product_grade,Product_Grade_Service,Product_Denomination,Product_Mint_Mark,Product_Metal_Mark,product_purity,Product_thinkness,Product_Diameter,First_Image,Second_Image,Third_Image,Stock
"
                    2002 Mexico 2 oz Silver Libertad BU
                ",14429,,2002,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/14429_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/14429_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2000 Mexico 1 oz Silver Libertad BU
                ",7076,$85.49,2000,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/7076_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/7076_Rev.jpg?v=20130602094622&width=450&height=450,,1
"
                    2001 Mexico 5 oz Silver Libertad BU
                ",15799,,2001,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/15799_Obv.jpg?v=20160531034715&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/15799_Rev.jpg?v=20160531034715&width=450&height=450,,0
"
                    2002 Mexico 5 oz Silver Libertad BU
                ",14430,,2002,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/14430_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/14430_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2003 Mexico 5 oz Silver Libertad BU
                ",13453,$327.45,2003,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13453_Obv.jpg?v=20160908112927&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13453_Rev.jpg?v=20160908112927&width=450&height=450,,1
"
                    1998 Mexico 5 oz Silver Libertad BU
                ",13451,,1998,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13451_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13451_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2004 Mexico 5 oz Silver Libertad BU
                ",13648,,2004,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13648_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13648_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2000 Mexico 5 oz Silver Libertad BU
                ",14428,,2000,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/14428_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/14428_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2005 Mexico 5 oz Silver Libertad BU
                ",13454,,2005,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13454_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13454_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    1999 Mexico 5 oz Silver Libertad BU
                ",13452,,1999,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13452_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13452_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2006 Mexico 5 oz Silver Libertad BU
                ",13449,,2006,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13449_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13449_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    1997 Mexico 5 oz Silver Libertad BU
                ",13450,$367.45,1997,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/13450_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/13450_Rev.jpg?v=20130602094622&width=450&height=450,,1
"
                    2014 Mexico 2 oz Silver Libertad BU
                ",79584,,2014,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/79584_Obv.jpg?v=20140806092424&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/79584_Rev.jpg?v=20140806092424&width=450&height=450,,0
"
                    2002 Mexico 1/2 oz Silver Libertad BU
                ",60703,,2002,Brilliant Unc,None,1/2 Onza,Mo - Mexico City,0.5 troy oz,0.999,2.6 mm,33 mm,https://apmex.exceda.com/images/Catalog Images/Products/60703_Obv.jpg?v=20140806031958&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/60703_Rev.jpg?v=20140806031958&width=450&height=450,,0
"
                    Mexico 1 oz Silver Libertad Reverse Proof (Random Year)
                ",154488,,Random Year,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/154488_Obv.jpg?v=20170921103842&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/154488_Rev.jpg?v=20170921103842&width=450&height=450,,0
"
                    2017 Mexico 1/4 oz Silver Libertad BU
                ",150001,,2017,Brilliant Unc,None,1/4 Onza,Mo - Mexico City,0.25 troy oz,0.999,1.7 mm,27 mm,https://apmex.exceda.com/images/Catalog Images/Products/150001_Obv.jpg?v=20170403095735&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/150001_Rev.jpg?v=20170403095735&width=450&height=450,,0
"
                    2017 Mexico 1/10 oz Silver Libertad BU
                ",150000,,2017,Brilliant Unc,None,1/10 Onza,Mo - Mexico City,0.1 troy oz,0.999,1.4 mm,20 mm,https://apmex.exceda.com/images/Catalog Images/Products/150000_Obv.jpg?v=20170403095723&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/150000_Rev.jpg?v=20170403095723&width=450&height=450,,0
"
                    2016 Mexico 1 oz Silver Libertad Proof (Spotted)
                ",154486,,2016,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,,,,0
"
                    2016 Mexico 2 oz Silver Libertad BU
                ",96167,$70.97,2016,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/96167_Obv.jpg?v=20160412111218&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/96167_Rev.jpg?v=20160412111218&width=450&height=450,,1
"
                    2016 Mexico 5 oz Silver Libertad BU
                ",96168,$157.45,2016,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/96168_Obv.jpg?v=20161102030109&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/96168_Rev.jpg?v=20161102030109&width=450&height=450,,1
"
                    2016 Mexico 1/4 oz Silver Libertad BU
                ",96164,,2016,Brilliant Unc,None,1/4 Onza,Mo - Mexico City,0.25 troy oz,0.999,1.7 mm,27 mm,https://apmex.exceda.com/images/Catalog Images/Products/96164_Obv.jpg?v=20160412101142&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/96164_Rev.jpg?v=20160412101142&width=450&height=450,,0
"
                    2016 Mexico 5 oz Silver Libertad Proof (In Capsule)
                ",101670,$197.45,2016,Proof,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/101670_Slab.jpg?v=20160620094843&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/101670_Obv.jpg?v=20160620094843&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/101670_Rev.jpg?v=20160620094843&width=450&height=450,1
